UID          PID    PPID  C STIME TTY          TIME CMD
kernel      1773    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 25165841 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kernel      1775    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 25165842 actions Action Buttons Log out, lock or other system actions
kernel      1801    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kernel      1817    1468  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kernel      1820    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1829       1  0 12:48 ?        00:00:00 /usr/libexec/upowerd
kernel      1836    1511  0 12:48 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 2a4849f29-fda7-48de-8257-8dd87fcd1e0b
kernel      1841    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kernel      1862    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kernel      1887    1468  0 12:48 ?        00:00:00 /usr/libexec/goa-daemon
kernel      1888    1511  0 12:48 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
kernel      1889    1511  0 12:48 ?        00:00:00 /usr/libexec/polkit-mate-authentication-agent-1
kernel      1890    1468  0 12:48 ?        00:00:00 /usr/libexec/dconf-service
kernel      1895    1511  0 12:48 ?        00:00:00 light-locker
kernel      1902    1511  0 12:48 ?        00:00:00 xiccd
kernel      1904    1511  0 12:48 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
colord      1916       1  0 12:48 ?        00:00:00 /usr/libexec/colord
kernel      1919    1511  0 12:48 ?        00:00:00 nm-applet
kernel      1925    1511  0 12:48 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kernel      1932    1511  0 12:48 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kernel      1937    1511  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
kernel      1947       1  0 12:48 ?        00:00:00 xcape -e Super_L Control_L Escape
kernel      1952    1468  0 12:48 ?        00:00:00 /usr/libexec/goa-identity-service
kernel      1974    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfsd-metadata
kernel      1987    1601  0 12:48 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
kernel      2040    1468  0 12:48 ?        00:00:00 /usr/libexec/evolution-source-registry
kernel      2060    1468  0 12:48 ?        00:00:00 /usr/libexec/evolution-calendar-factory
kernel      2064    1468  0 12:48 ?        00:00:00 /usr/libexec/bluetooth/obexd
kernel      2072    1468  0 12:48 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        9743       2  0 13:02 ?        00:00:00 [kworker/2:3-cgroup_destroy]
root       10168       2  0 13:03 ?        00:00:03 [kworker/u32:0-sdma0]
root       10407       1  0 13:04 ?        00:00:00 /usr/libexec/fwupd/fwupd
root       10423       2  0 13:04 ?        00:00:00 [kworker/14:0-events]
